frequency,type,instruction
1,instruction,integer_sub
1,instruction,integer_inc
1,instruction,vector_float_yankdup
1,instruction,exec_yankdup
1,instruction,integer_yankdup
1,instruction,exec_shove
1,instruction,exec_y
1,instruction,vector_float_last
1,instruction,integer_mult
1,instruction,in1
1,instruction,vector_float_pushall
1,instruction,vector_float_replace
1,instruction,exec_dup_items
1,instruction,vector_float_butlast
1,instruction,exec_rot
1,instruction,vector_float_indexof
1,instruction,exec_dup
1,instruction,vector_float_rest
1,instruction,float_sin
1,instruction,exec_k
1,instruction,float_frominteger
1,instruction,vector_float_shove
1,instruction,vector_float_reverse
1,instruction,float_mod
1,instruction,vector_float_subvec
1,instruction,integer_div
1,instruction,vector_float_remove
1,instruction,integer_fromfloat
1,instruction,integer_mod
1,instruction,exec_do*count
1,instruction,integer_rot
1,instruction,float_yankdup
1,instruction,vector_float_dup_items
1,instruction,integer_add
1,instruction,integer_shove
1,instruction,integer_max
1,instruction,vector_float_pop
1,instruction,integer_stackdepth
1,instruction,float_max
1,instruction,vector_float_conj
1,instruction,float_dup_items
1,instruction,float_stackdepth
1,instruction,integer_dup_times
1,instruction,vector_float_replacefirst
1,instruction,exec_dup_times
1,instruction,integer_yank
1,instruction,integer_min
1,instruction,exec_swap
1,instruction,integer_dup_items
1,instruction,exec_do*range
1,instruction,integer_flush
1,instruction,float_shove
1,instruction,float_pop
1,instruction,vector_float_nth
1,instruction,vector_float_dup_times
1,instruction,float_sub
1,instruction,vector_float_set
1,instruction,float_min
1,instruction,float_mult
1,instruction,exec_do*times
1,instruction,float_dec
1,instruction,exec_pop
1,instruction,vector_float_rot
1,instruction,exec_do*vector_float
1,instruction,vector_float_first
1,instruction,vector_float_occurrencesof
1,instruction,float_add
1,instruction,exec_s
1,instruction,float_dup
1,instruction,float_swap
1,instruction,exec_noop
1,instruction,integer_swap
1,instruction,vector_float_dup
1,instruction,integer_dup
1,instruction,float_tan
1,instruction,exec_yank
1,instruction,integer_pop
1,instruction,vector_float_flush
1,instruction,vector_float_yank
1,instruction,float_dup_times
1,instruction,float_inc
1,instruction,vector_float_length
1,instruction,integer_dec
1,instruction,vector_float_concat
1,instruction,vector_float_stackdepth
1,instruction,float_rot
1,instruction,exec_stackdepth
1,instruction,float_flush
1,instruction,float_cos
1,instruction,exec_flush
1,instruction,vector_float_swap
1,instruction,float_div
1,instruction,vector_float_take
1,instruction,float_yank
